,language,endangerment,latitude,longitude
2343,Eel River Athabaskan,Extinct,40.188,-123.6477
2347,Eyak,Extinct,60.2165,-143.3935
2360,Hanis,Extinct,43.406,-124.2402
2367,Huron-Wyandot (United States of America),Extinct,36.7923,-94.7229
2369,Ineseño,Extinct,34.5942,-120.1371
2371,Island Chumash,Extinct,34.3821,-119.4574
2377,Kansa,Extinct,36.7657,-96.8652
2382,Kato,Extinct,39.677,-123.4944
2393,Klamath-Modoc,Extinct,42.5767,-121.8637
2394,Konomihu,Extinct,41.2583,-123.3216
2410,Lipan,Extinct,33.1513,-105.799
2416,Lower Chehalis,Extinct,46.3227,-123.9724
2425,Mattole,Extinct,39.1375,-123.6931
2426,Miami-Illinois,Extinct,36.8866,-94.8775
2427,Migueleño,Extinct,35.7587,-120.6951
2435,Molala,Extinct,44.8636,-122.4645
2442,Natchez,Extinct,31.5544,-91.3875
2443,New River Shasta,Extinct,45.2835,-121.7134
2447,Nisenan,Extinct,38.7654,-121.0064
2448,Nooksack,Extinct,49.0378,-122.4865
2450,Northeastern Pomo,Extinct,39.3774,-122.5454
2454,Obispeño,Extinct,35.2692,-120.6707
2472,Purisimeño,Extinct,34.6608,-120.4711
2474,Quapaw,Extinct,36.9494,-94.7877
2475,Quileute,Extinct,47.9083,-124.6365
2482,Serrano,Extinct,34.1212,-117.2221
2488,Siuslaw,Extinct,43.3773,-124.2371
2490,Southeastern Pomo,Extinct,39.016,-122.6779
2501,Tillamook,Extinct,45.3449,-123.5309
2506,Tunica,Extinct,31.1262,-92.0673
2507,Tututni,Extinct,42.5756,-124.0688
2508,Twana,Extinct,47.3344,-123.1607
2512,Upper Chehalis,Extinct,46.4111,-122.9949
2513,Upper Umpqua,Extinct,43.4476,-123.77
2516,Ventureño,Extinct,34.2809,-119.2979
2520,Wappo,Extinct,38.8701,-122.5154
2522,Wiyot,Extinct,40.5984,-124.2519
2530,Yuki,Extinct,37.4336,-118.5908
2567,Chinook Jargon,Critically endangered,45.0591,-123.6091
2568,Chiwere,Extinct,35.9761,-97.3336
2629,Mohawk (Ganienkeh),Definitely endangered,44.8675,-73.67
2631,Mohawk (Kanatsiohareke),Definitely endangered,42.9116,-74.5587
2639,Munsee (United States of America),Critically endangered,40.8969,-76.3769
2663,Quinault,Extinct,47.3332,-124.2864
2681,Southern Paiute,Severely endangered,37.6818,-113.088
2706,Unami,Extinct,39.13,-76.0253
2712,Western Abenaki (United States of America),Extinct,43.0046,-72.246
